Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
342,2018-04-28,Men's hair cut,MCGA02,SINEAD,1,35.0,1.75,2.8,April,4,Saturday,5
343,2018-04-28,Blowdry,WONM02,JJ,1,52.0,2.6,4.16,April,4,Saturday,5
345,2018-04-28,Women's hair cut,ROGE01,SINEAD,1,70.0,3.5,5.6,April,4,Saturday,5
345,2018-04-28,Women's hair cut,HUDM01,JJ,1,102.0,5.1,8.16,April,4,Saturday,5
346,2018-04-28,Women's hair cut,PHIJ01,SINEAD,1,70.0,3.5,5.6,April,4,Saturday,5
346,2018-04-28,PO Hydrate sheer sh 250ml,PHIJ01,SINEAD,1,30.73,1.5365,2.4584,April,4,Saturday,5
347,2018-04-28,Women's hair cut,MACB01,JJ,1,82.0,4.1,6.56,April,4,Saturday,5
347,2018-04-28,PO Clean Volume sh 250ml,MACB01,JJ,1,30.73,1.5365,2.4584,April,4,Saturday,5
347,2018-04-28,PO clean volume con 250ml,MACB01,JJ,1,33.52,1.676,2.6816,April,4,Saturday,5
347,2018-04-28,Women's hair cut,WHIA01,JJ,1,82.0,4.1,6.56,April,4,Saturday,5
348,2018-04-28,Women's hair cut,WINL01,SINEAD,1,70.0,3.5,5.6,April,4,Saturday,5
348,2018-04-28,KM Killer curls 200ml,WINL01,SINEAD,1,36.0,1.8,2.88,April,4,Saturday,5
35,2018-03-22,Men's hair cut,HYSA01,JJ,1,40.0,2.0,3.2,March,3,Thursday,3
350,2018-04-28,Blowdry,WOOJ01,SINEAD,1,50.0,2.5,4.0,April,4,Saturday,5
351,2018-04-28,Women's hair cut,HOS01,JJ,1,82.0,4.1,6.56,April,4,Saturday,5
352,2018-04-28,Consultation,CULT01,SINEAD,1,0.0,0.0,0.0,April,4,Saturday,5
354,2018-04-29,Women's hair cut,WAGL01,JJ,1,82.0,4.1,6.56,April,4,Sunday,6
355,2018-04-29,Women's hair cut,ZHIJ01,JJ,1,82.0,4.1,6.56,April,4,Sunday,6
356,2018-05-01,Shu shape paste 71g,WALK_IN,JJ,1,37.8,1.89,3.024,May,5,Tuesday,1
357,2018-05-01,Men's hair cut,FLAD01,SINEAD,1,35.0,1.75,2.8,May,5,Tuesday,1
358,2018-05-01,Blowdry,HILJ01,BECKY,1,50.0,2.5,4.0,May,5,Tuesday,1
36,2018-03-22,Women's hair cut,TAYD01,JJ,1,82.0,4.1,6.56,March,3,Thursday,3
360,2018-05-01,Women's hair cut,KERT01,JJ,1,102.0,5.1,8.16,May,5,Tuesday,1
360,2018-05-01,Accent lights and color,KERT01,JJ,1,70.0,3.5,5.6,May,5,Tuesday,1
361,2018-05-01,Men's hair cut,GRIP01,SINEAD,1,35.0,1.75,2.8,May,5,Tuesday,1
364,2018-05-01,Blowdry,BROS01,BECKY,1,50.0,2.5,4.0,May,5,Tuesday,1
365,2018-05-01,Women's hair cut,ALVJ01,JJ,1,82.0,4.1,6.56,May,5,Tuesday,1
366,2018-05-01,Men's hair cut,TAYE01,JJ,1,60.0,3.0,4.8,May,5,Tuesday,1
368,2018-05-01,Men's hair cut,LEHJ01,JJ,1,50.0,2.5,4.0,May,5,Tuesday,1
369,2018-05-01,Women's hair cut,CYRA01,BECKY,1,60.0,3.0,4.8,May,5,Tuesday,1
37,2018-03-22,Women's hair cut,GOSD01,JJ,1,82.0,4.1,6.56,March,3,Thursday,3
370,2018-05-01,Women's hair cut,FLEB01,JJ,1,82.0,4.1,6.56,May,5,Tuesday,1
374,2018-05-02,Blowdry,NELT01,SINEAD,1,30.0,1.5,2.4,May,5,Wednesday,2
375,2018-05-02,Blowdry,RODP01,SINEAD,1,50.0,2.5,4.0,May,5,Wednesday,2
376,2018-05-02,Women's hair cut,ATKN01,JJ,1,82.0,4.1,6.56,May,5,Wednesday,2
376,2018-05-02,Shu essence absolue C.milk 250,ATKN01,JJ,1,50.4,2.52,4.032,May,5,Wednesday,2
377,2018-05-02,Men's hair cut,DENB01,SINEAD,1,35.0,1.75,2.8,May,5,Wednesday,2
378,2018-05-02,Blowdry,KINN01,JJ,1,52.0,2.6,4.16,May,5,Wednesday,2
379,2018-05-02,Women's hair cut,MARA01,SINEAD,1,70.0,3.5,5.6,May,5,Wednesday,2
381,2018-05-02,Men's hair cut,POTR01,JJ,1,60.0,3.0,4.8,May,5,Wednesday,2
382,2018-05-02,Women's hair cut,LEEV01,JJ,1,82.0,4.1,6.56,May,5,Wednesday,2
383,2018-05-03,Women's hair cut,LEFN01,JJ,1,82.0,4.1,6.56,May,5,Thursday,3
